6MP|Mercaptopurine 50mg|Mercaptopurine 50mg|퓨리네톨 정 50mg|글락소스미스클라인|글락소스미스클라인|6-M000000|Mercaptopurine|
AC3-L|Acetic acid 3% 1L| |Acetic acid 3% 1L| | |ACE000005|Acetic acid|
ACAMP|Acamprosate 333mg|Acamprol 333mg|아캄프롤 정 333mg|환인제약|환인제약|ACA000000|Acamprosate|
ACAR|Acarbose 50mg|Glucobay tablet 50mg|글루코바이 정 50mg|한독약품|바이엘코리아|ACA000001|Acarbose|
ACAR1|Acarbose 100mg|Glucobay tablet 100mg|글루코바이 정 100mg|한독약품|바이엘코리아|ACA000001|Acarbose|
ACEBR|Acebrophylline 100mg|Surfolase 100mg|설포라제 캅셀 100mg|현대약품|현대약품|ACE000000|Acebrophylline|
ACEC-L|Acetylcysteine 4ml|Mucomyst 4ml|보령 뮤코미스트 액 4ML|보령제약|보령제약|ACE000006|Acetylcysteine|
ACEC2|Acetylcysteine 200mg|Fluimucil Cap|후루무실 캅셀 200mg|일동제약|일동제약|ACE000006|Acetylcysteine|
ACECF|Aceclofenac 100mg|Asec 100MG|아섹 정 100mg|한미약품|한미약품|ACE000001|Aceclofenac|
ACET-S|Aceta syrup 32mg/ml|Tylenol syr. 32mg/ml|타이레놀 현탁액 32mg/ml|한국얀센|한국얀센|ACE000002|Acetaminophen|
ACET-Y|Acetaminophen 125mg|Suspen 125mg|써스펜 좌약 125mg/EA|한미약품|한미약품|ACE000002|Acetaminophen|
ACET32|Acetaminophen 325mg|Tramol 325mg|트라몰 정 325mg|코오롱제약|코오롱제약|ACE000002|Acetaminophen|
ACET65|Acetaminophen 650mg|Suspen ER Tab. 650mg|써스펜이알서방정 650mg|한미약품|한미약품|ACE000002|Acetaminophen|
ACEZ|Acetazolamide 250mg|Diamox 250mg|다이아막스 정 250mg|한국와이어스|한국와이어스|ACE000004|Acetazolamide|
ACIP|Acipimox 250mg|Olbetam 250mg|일동 올베탐 캅셀 250mg|일동제약|일동제약|ACI000000|Acipimox|
ACT28|Activelle(R)|Activelle(R)|액티벨 정|노보노디스크|녹십자|EST000007|Estradiol/Norethisterone acetate|
ACTI|Actifed(R) 60mg/2.5mg|Actifed(R)|액티피드 정|삼일제약|삼일제약|PSE000001|Pseudoephedrine/Triprolidine|
ACTI-S|Actifed(R) 6mg/0.25mg/ml|Actifed(R) Syrup|액티피드 시럽|삼일제약|삼일제약|PSE000001|Pseudoephedrine/Triprolidine|
ACYC|Acyclovir 200mg|Zovirax 200mg|동아 조비락스 정 200mg|동아제약|동아제약|ACY000000|Acyclovir|
ACYC-F|Acyclovir opht. 3.5g|Herpecid opht. 3.5g|헤르페시드 안연고 3.5g/Tube|삼일제약|삼일제약|ACY000000|Acyclovir|
ADA1-C|Adapalene 0.1% 15g|Differin 0.1% 15g|디페린 겔 0.1% 15g|갈더마|한국갈더마|ADA000000|Adapalene|
ADEF|Adefovir 10mg|Hepsera tab 10mg|헵세라 정 10mg|글락소스미스클라인|글락소스미스클라인|ADE000002|Adefovir dipivoxil|
AER-L|Isoflurane sol.100ml|Aerane inj|에어레인 액 100ml/BTL|일성신약|일성신약|ISO000002|Isoflurane|
ALBO-L|Albothyl(R)sol.100ml|Albothyl(R)sol.100ml|알보칠 콘센트레이트 액 100ml/BTL|태평양제약|태평양제약|POL000000|Policresulen|
ALBU-K|Albumax soln. 10ml|Albumax soln. 10ml|알부맥스 액 10ml|한림제약|한림제약|IRO000002|Iron acety-transferrin hydroglycerin|
ALCA|Acetylcarnitine 500mg|Nicetile 500mg|동아 니세틸 정 500mg|동아제약|동아제약|CAR000007|Carnitine|
ALEN|Alendronate sod.10mg|Alend 10mg|아렌드 정 10mg|환인제약|환인제약|ALE000000|Alendronate|
ALEN5|Alendronate sod.5mg|Alend Tab. 5mg|아렌드 정 5mg|환인제약|환인제약|ALE000000|Alendronate|
ALEN7|Alendronate sod. 70mg|Fosamax Tab. 70mg|포사맥스 정 70mg|Merck Sharp & Dohme|한국엠에스디|ALE000000|Alendronate|
ALFA|Alfacalcidol 0.5mcg|One-alpha 0.5mcg|원알파 정 0.5mcg|일성신약|일성신약|ALF000000|Alfacalcidol|
ALFU|Alfuzosin HCl 10mg|Xatral XL Tab 10mg|자트랄 엑스엘 정 10mg|사노피신데라보프랑스|사노피신데라보코리아|ALF000002|Alfuzosin HCl|
ALIB|Alibendol 100mg|Livera tab 100mg|리베라 정|진양제약|진양제약|ALI000000|Alibendol|
ALLO|Allopurinol 100mg|Allopurinol 100mg|유유 알로푸리놀 정 100mg|유유산업|유유산업|ALL000000|Allopurinol|
ALMA-K|Almagel F(R)|Almagel F(R)|알마겔 에프 현탁액 15ml/pkg|유한양행|유한양행|ALM000000|Almagate|
ALPR|Alprazolam 0.25mg|Xanax 0.25mg|자낙스 정 0.25mg|파마시아코리아|파마시아코리아|ALP000000|Alprazolam|
ALPR5|Alprazolam 0.5mg|Xanax 0.5mg|자낙스 정 0.5mg|파마시아코리아|파마시아코리아|ALP000000|Alprazolam|
ALTM|Altretamine 50mg|Hexalen|헥살렌 캅셀 50mg|U.S. Bioscience |명지약품|ALT000001|Altretamine|
ALVI-S|Alvityl syrup 150ml|Alvityl syrup|올비틸 시럽|영진약품|영진약품|ALV000000|Alvityl(R)|
AMAN|Amantadine 100mg|PK-Merz 100mg|피케이멜즈 정 100mg|한화제약|한화제약|AMA000000|Amantadine sulfate|
AMBR|Ambroxol 30mg|Mucopect 30mg|뮤코펙트 정 30mg|한국베링거인겔하임|한국베링거인겔하임|AMB000000|Ambroxol HCl|
AMBR-S|Ambroxol 3mg/ml|Mucopect 3mg/ml|뮤코펙트 시럽 3mg/ml|한국베링거인겔하임|한국베링거인겔하임|AMB000000|Ambroxol HCl|
AMET|Avandamet 2mg/500mg|Avandamet|아반다메트 정 2mg/500mg|글락소스미스클라인|글락소스미스클라인|MET000029|Rosiglitazone/Metformin|
AMET4|Avandamet 4mg/500mg|Avandamet Tab|아반다메트 정 4mg/500mg|글락소스미스클라인|글락소스미스클라인|MET000029|Rosiglitazone/Metformin|
AMIL|Amiloride 5mg|Amilo 5mg|아미로 정 5mg|건일제약|건일제약|AMI000001|Amiloride HCl|
AMIO|Amiodarone 200mg|Cordarone 200mg|코다론 정 200mg|사노피신데라보코리아|사노피신데라보코리아|AMI000006|Amiodarone HCl|
AMIS|Amisulpride 400mg|Solian tab 400mg|솔리안 정 400mg|사노피신데라보코리아|사노피신데라보코리아|AMI000007|Amisulpride|
AMIS2|Amisulpride 200mg|Solian tab 200mg|솔리안 정 200mg|사노피신데라보코리아|사노피신데라보코리아|AMI000007|Amisulpride|
AMIT|Amitriptyline 10mg|Enafon 10mg|에나폰 정 10mg|환인제약|환인제약|AMI000008|Amitriptyline HCl|
AMIT25|Amitriptyline 25mg|Amitripthline 25mg|명인염산아미트리프틸린 정 25mg|명인제약|명인제약|AMI000008|Amitriptyline HCl|
AMLO|Amlodipine 5mg|Norvasc 5mg|노바스크 정 5mg|한국화이자|한국화이자|AML000000|Amlodipine|
